"""Company History""","""Historija Kompanije""",
"""Team Members"" or ""Management""","""Članovi Tima"" ili ""Uprava""",
&lt;head&gt; HTML,&lt;head&gt; HTML,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Nacrt; 1 - Podneseno; 2 - Otkazano,
0 is highest,0 je najviše,
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1 Valuta = [?] Dio
Za npr. 1 USD = 100 Cent",
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">Ne ažuriraj jer to može pokvariti vašu formu. Koristite Prilagodi Prikaz Forme i Prilagođena Polja da postavite svojstva!</div>",
"<div class=""well"">
    Edit list of Series in the box. Rules:
    <ul>
        <li>Each Series Prefix on a new line.</li>
        <li>Allowed special characters are ""/"" and ""-""</li>
        <li>
            Optionally, set the number of digits in the series using dot (.)
            followed by hashes (#). For example, "".####"" means that the series
            will have four digits. Default is five digits.
        </li>
        <li>
            You can also use variables in the series name by putting them
            between (.) dots
            <br>
            Supported Variables:
            <ul>
                <li><code>.YYYY.</code> - Year in 4 digits</li>
                <li><code>.YY.</code> - Year in 2 digits</li>
                <li><code>.MM.</code> - Month</li>
                <li><code>.DD.</code> - Day of month</li>
                <li><code>.WW.</code> - Week of the year</li>
                <li>
                    <code>.{fieldname}.</code> - fieldname on the document e.g.
                    <code>branch</code>
                </li>
                <li><code>.FY.</code> - Fiscal Year (requires ERPNext to be installed)</li>
                <li><code>.ABBR.</code> - Company Abbreviation (requires ERPNext to be installed)</li>
            </ul>
        </li>
    </ul>
    Examples:
    <ul>
        <li>INV-</li>
        <li>INV-10-</li>
        <li>INVK-</li>
        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>
    </ul>
</div>
<br>
","<div class=""well"">
     Uredite Listu Serija u okviru. pravila:
     <ul>
         <li>Svaki prefiks Serije u novom redu.</li>
         <li>Dozvoljeni specijalni znakovi su ""/"" i ""-""</li>
         <li>
             Po želji, postavite broj cifara u nizu pomoću tačke (.)
             nakon čega slijede heševi (#). Na primjer, "".####"" znači da je serija
             imaće četiri cifre. Podrazumijevano je pet cifara.
         </li>
         <li>
             Također možete koristiti varijable u nazivu serije tako što ćete ih staviti
             između (.) tačaka
             <br>
             Podržane varijable:
             <ul>
                 <li><code>.GGGG.</code> - Godina u 4 cifre</li>
                 <li><code>.YY.</code> - Godina u 2 cifre</li>
                 <li><code>.MM.</code> - Mjesec</li>
                 <li><code>.DD.</code> - Dan u mjesecu</li>
                 <li><code>.WW.</code> - Sedmica u godini</li>
                 <li><code>.FY.</code> - Fiskalna godina</li>
                 <li>
                     <code>.{fieldname}.</code> - ime polja na dokumentu, npr.
                     <code>grana</code>
                 </li>
             </ul>
         </li>
     </ul>
     primjeri:
     <ul>
         <li>INV-</li>
         <li>INV-10-</li>
         <li>INVK-</li>
        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>
     </ul>
</div>
<br>
",
"<h3>Custom CSS Help</h3>

<p>Notes:</p>

<ol>
<li>All field groups (label + value) are set attributes <code>data-fieldtype</code> and <code>data-fieldname</code></li>
<li>All values are given class <code>value</code></li>
<li>All Section Breaks are given class <code>section-break</code></li>
<li>All Column Breaks are given class <code>column-break</code></li>
</ol>

<h4>Examples</h4>

<p>1. Left align integers</p>

<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>

<p>1. Add border to sections except the last section</p>

<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }
.section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>
","<h3>Pomoć za prilagođeni CSS</h3>

<p>Napomene:</p>

<ol>
<li>Sve grupe polja (oznaka + vrijednost) su postavljeni atributi <code>data-fieldtype</code> i <code>data-fieldname</code></li>
<li>Sve vrijednosti imaju klasu <code>value</code></li>
<li>Svi prijelomi odjeljaka dobivaju klasu <code>section-break</code></li>
<li>Svim prijelomima kolona dodijeljena je klasa <code>column-break</code></li>
</ol>

<h4>Primjeri</h4>

<p>1. Lijevo poravnanje cijelih brojeva</p>

<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>

<p>1. Dodajte ivicu odjeljcima osim posljednjeg odjeljka</p>

<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }
.section-break:last-child { padding-bottom: 0px; rub-bottom: 0px; }</code></pre>
",
"<h3>Print Format Help</h3>
<hr>
<h4>Introduction</h4>
<p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p>
<p>For styling, the Boostrap CSS framework is provided and you can enjoy the full range of classes.</p>
<hr>
<h4>References</h4>
<ol>
	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja Templating Language</a></li>
	<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS Framework</a></li>
</ol>
<hr>
<h4>Example</h4>
<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Customer Name&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;
&lt;/div&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Date&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;
&lt;/div&gt;
&lt;table class=""table table-bordered""&gt;
	&lt;tbody&gt;
		&lt;tr&gt;
			&lt;th&gt;Sr&lt;/th&gt;
			&lt;th&gt;Item Name&lt;/th&gt;
			&lt;th&gt;Description&lt;/th&gt;
			&lt;th class=""text-right""&gt;Qty&lt;/th&gt;
			&lt;th class=""text-right""&gt;Rate&lt;/th&gt;
			&lt;th class=""text-right""&gt;Amount&lt;/th&gt;
		&lt;/tr&gt;
		{%- for row in doc.items -%}
		&lt;tr&gt;
			&lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt;
			&lt;td style=""width: 20%;""&gt;
				{{ row.item_name }}
				{% if row.item_code != row.item_name -%}
				&lt;br&gt;Item Code: {{ row.item_code}}
				{%- endif %}
			&lt;/td&gt;
			&lt;td style=""width: 37%;""&gt;
				&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;
			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""rate"", doc) }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""amount"", doc) }}&lt;/td&gt;
		&lt;/tr&gt;
		{%- endfor -%}
	&lt;/tbody&gt;
&lt;/table&gt;</code></pre>
<hr>
<h4>Common Functions</h4>
<table class=""table table-bordered"">
	<tbody>
		<tr>
			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>
			<td>Get document value formatted as Date, Currency, etc. Pass parent <code>doc</code> for currency type fields.</td>
		</tr>
		<tr>
			<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>
			<td>Get value from another document.</td>
		</tr>
	</tbody>
</table>
","<h3>Pomoć za Format Ispisa</h3>
<hr>
<h4>Uvod</h4>
<p>Formati ispisa prikazuju se na strani poslužitelja pomoću Jinja Templating Language. Sve forme imaju pristup <code>doc</code> koji sadrži informacije o dokumentu koji se formatira. Također možete pristupiti uobičajenim uslužnim programima preko <code>frappe</code> modula.</p>
<p>Za stiliziranje, Boostrap CSS framework je osiguran i možete uživati u punom rasponu klasa.</p>
<hr>
<h4>Reference</h4>
<ol>
<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja Templateing Language</a></li>
<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS okvir</a></li>
</ol>
<hr>
<h4>Primjer</h4>
<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;
&lt;div class=""row""&gt;
&lt;div class=""col-md-3 text-right""&gt;Ime Klijenta&lt;/div&gt;
&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;
&lt;/div&gt;
&lt;div class=""row""&gt;
&lt;div class=""col-md-3 text-right""&gt;Datum&lt;/div&gt;
&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;
&lt;/div&gt;
&lt;table class=""table table-bordered""&gt;
&lt;tbody&gt;
&lt;tr&gt;
&lt;th&gt;Sr&lt;/th&gt;
&lt;th&gt;Naziv Artikla&lt;/th&gt;
&lt;th&gt;Opis&lt;/th&gt;
&lt;th class=""text-right""&gt;Količina&lt;/th&gt;
&lt;th class=""text-right""&gt;Cijena&lt;/th&gt;
&lt;th class=""text-right""&gt;Iznos&lt;/th&gt;
&lt;/tr&gt;
{%- za red u doc.items -%}
&lt;tr&gt;
&lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt;
&lt;td style=""width: 20%;""&gt;
{{ row.item_name }}
{% if row.item_code != row.item_name -%}
&lt;br&gt;Kod Artikla: {{ row.item_code}}
				{%- endif %}
			&lt;/td&gt;
			&lt;td style=""width: 37%;""&gt;
				&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;
			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""rate"", doc) }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""amount"", doc) }}&lt;/td&gt;
		&lt;/tr&gt;
		{%- endfor -%}
&lt;/tbody&gt;
&lt;/table&gt;</code></pre>
<hr>
<h4>Uobičajene funkcije</h4>
<table class=""table table-bordered"">
<tbody>
<tr>
<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>
<td>Preuzmi vrijednost dokumenta formatiranu kao datum, valuta itd. Proslijedi nadređeni <code>doc</code> za polja tipa valute.</td>
</tr>
<tr>
<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>
<td>Preuzmi vrijednost iz drugog dokumenta.</td>
</tr>
</tbody>
</table>
",
