 to your browser,ブラウザに,
"""Company History""",「会社の歴史」,
"""Parent"" signifies the parent table in which this row must be added",「親」は、この行を追加する必要がある親テーブルを意味します,
"""Team Members"" or ""Management""",「チームメンバー」または「管理」,
"""amended_from"" field must be present to do an amendment.",修正を行うには、「amended_from」フィールドが存在する必要があります。,
"""{0}"" is not a valid Google Sheets URL",「{0}」は有効なGoogleシートURLではありません,
#{0},＃{0},
${values.doctype_name} has been added to queue for optimization,$ {values.doctype_name}が最適化のためにキューに追加されました,
&copy; Frappe Technologies Pvt. Ltd. and contributors,＆コピー; Frappe Technologies Pvt。 Ltd.および貢献者,
&lt;head&gt; HTML,＆lt; head＆gt; HTML,
'In Global Search' is not allowed for field {0} of type {1},「グローバル検索で」は、{1}のフィールド{0}には許可されていません,
'In Global Search' not allowed for type {0} in row {1},「グローバル検索で」{1}のタイプ{0}を許可されていません,
'In List View' is not allowed for field {0} of type {1},「リストビュー」は、タイプ{1}のフィールド{0}には許可されていません,
'In List View' not allowed for type {0} in row {1},「リストビュー」は、{1}のタイプ{0}には許可されていません,
'Recipients' not specified,「受信者」は指定されていません,
'{0}' is not a valid URL,'{0}'は有効なURLではありません,
'{0}' not allowed for type {1} in row {2},'{0}' {2}のタイプ{1}が許可されていません,
(Mandatory),（必須）,
** Failed: {0} to {1}: {2},**失敗：{0}から{1}：{2},
+ Add / Remove Fields,+フィールドを追加 /削除します,
0 - Draft; 1 - Submitted; 2 - Cancelled,0-ドラフト; 1-提出。 2-キャンセル,
0 is highest,0が最高です,
1 = True & 0 = False,1 = true＆0 = false,
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1通貨= [？]分数
例えば1 USD = 100セント",
1 Day,1日,
1 Google Calendar Event synced.,1つのGoogleカレンダーイベントが同期されました。,
1 Report,1つのレポート,
1 comment,1コメント,
1 day ago,1日前,
1 hour,1時間,
1 hour ago,1時間前,
1 minute ago,1分前,
1 month ago,1ヶ月前,
1 of 2,1 of 2,
1 record will be exported,1レコードがエクスポートされます,
1 second ago,1秒前,
1 week ago,1週間前,
1 year ago,1年前,
2 hours ago,2時間前,
2 months ago,2か月前,
2 weeks ago,2週間前,
2 years ago,2年前,
3 minutes ago,3分前,
30 minutes,30分,
4 hours,4時間,
5 Records,5つのレコード,
5 days ago,5日前,
; not allowed in condition,;状態では許可されていません,
<b>{0}</b> is not a valid URL,<b> {0} </b>は有効なURLではありません,
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class = ""alert"">フォームを台無しにする可能性があるため、更新しないでください。カスタマイズフォームビューとカスタムフィールドを使用してプロパティを設定します！</div>",
