 to your browser, tarayıcınıza,
"""Company History""","""Şirket Geçmişi""",
"""Parent"" signifies the parent table in which this row must be added","""Üst"", bu satırın eklenmesi gereken üst tabloyu belirtir",
"""Team Members"" or ""Management""","""Ekip Üyeleri"" veya ""Yönetim""",
"""amended_from"" field must be present to do an amendment.","Değişiklik yapmak için ""amended_from"" alanı mevcut olmalıdır.",
"""{0}"" is not a valid Google Sheets URL","""{0}"" geçerli bir Google E-Tablolar bağlantısı değil",
#{0},#{0},
${values.doctype_name} has been added to queue for optimization,${values.doctype_name} optimizasyon için kuyruğa eklendi,
&copy; Frappe Technologies Pvt. Ltd. and contributors,&copy; Frappe Technologies Pvt. Ltd. ve katkıda bulunanlar,
&lt;head&gt; HTML,&lt;head&gt; HTML,
'In Global Search' is not allowed for field {0} of type {1},{1} türündeki {0} alanı için 'Genel Arama' seçeneğine izin verilmiyor,
'In Global Search' not allowed for type {0} in row {1},{1} satırındaki {0} türü için 'Genel Arama' seçeneğine izin verilmiyor,
'In List View' is not allowed for field {0} of type {1},{1} türündeki {0} alanı için 'Liste Görünümü' seçeneğine izin verilmiyor,
'In List View' not allowed for type {0} in row {1},{1} satırındaki {0} türü için 'Liste Görünümü' seçeneğine izin verilmiyor,
'Recipients' not specified,'Alıcılar' belirtilmemiş,
'{0}' is not a valid URL,'{0}' geçerli bir URL değil,
'{0}' not allowed for type {1} in row {2},'{0}' {2} satırındaki {1} türü için izin verilmiyor,
(Mandatory),(Zorunlu),
** Failed: {0} to {1}: {2},** Başarısız: {0} - {1}: {2},
+ Add / Remove Fields,+ Alanları Ekle / Çıkar,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Taslak; 1 - Gönderildi; 2 -İptal Edildi,
0 is highest,0 en yüksek seviyedir,
1 = True & 0 = False,1 = Doğru & 0 = Yanlış,
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1 Para Birimi = [?] Kesir
Örneğin 1 TL = 100 Kuruş",
1 Day,1 Gün,
1 Google Calendar Event synced.,1 Google Takvim Etkinliği senkronize edildi.,
1 Report,1 Rapor,
1 comment,1 yorum,
1 day ago,1 gün önce,
1 hour,1 saat,
1 hour ago,1 Saat Önce,
1 minute ago,1 Dakika Önce,
1 month ago,1 Ay Önce,
1 of 2,1 / 2,
1 record will be exported,1 Kayıt Dışa Aktarılacak,
1 second ago,1 saniye önce,
1 week ago,1 Hafta Önce,
1 year ago,1 Yıl Önce,
2 hours ago,2 saat önce,
2 months ago,2 ay önce,
2 weeks ago,2 hafta önce,
2 years ago,2 yıl önce,
3 minutes ago,3 dakika önce,
30 minutes,30 Dakika,
4 hours,4 Saat,
5 Records,5 Kayıt,
5 days ago,5 Gün Önce,
; not allowed in condition,; durumda izin verilmez,
